DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
30.016,60.0602,1.6555,1.4791,0.080767646,9.6315,66.6633,0.858,486976.5824,1768,485208.5824
30.1684,60.5284,1.6696,1.4795,0.088977144,9.6047,68.3208,0.9079,493617.7743,1768,491849.7743
30.3208,60.0383,1.6944,1.479,0.080383648,9.8752,64.9913,0.9453,503480.5225,1769,501711.5225
30.4732,58.6088,1.7342,1.4782,0.055318552,10.2839,66.1457,0.8796,517896.9097,1771,516125.9097
30.6256,59.059,1.6975,1.4778,0.063212435,10.3699,66.3035,0.8693,509472.1688,1769,507703.1688
30.778,60.8913,1.6555,1.4787,0.095340294,10.5607,68.7238,0.8699,499339.1942,1769.506,497569.6882
30.9304,61.6309,1.617,1.4803,0.108308566,10.7195,69.6332,0.8681,490141.6766,1767,488374.6766
31.0828,61.1105,1.6177,1.4811,0.099183784,10.8958,64.109,0.8787,492769.9265,1768.506,491001.4205
31.2352,60.3495,1.6165,1.4812,0.085840281,10.5175,65.2546,0.8735,494818.6678,1769,493049.6678
31.3876,61.2862,1.64,1.481,0.102264538,10.0501,67.7654,0.8782,504461.5072,1768.506,502693.0012
31.54,62.1771,1.6603,1.4806,0.11788573,9.7097,64.8772,0.8696,513185.4476,1769,511416.4476
31.6924,61.287,1.6977,1.4798,0.102278565,9.9219,66.0853,0.855,527281.0373,1769.5,525511.5373
31.8448,62.6791,1.7082,1.4791,0.126687883,10.0935,63.1421,0.8582,533093.4161,1769,531324.4161
31.9972,60.6721,1.7105,1.4797,0.091496804,10.2005,65.2054,0.8818,536365.8639,1769.502,534596.3619
32.1496,62.2572,1.6949,1.482,0.119290217,10.1695,67.6127,0.8553,534005.499,1771,532234.499
32.302,58.9299,1.677,1.4842,0.060948774,10.1396,67.513,0.8495,530870.4492,1770,529100.4492
32.4544,60.9519,1.6622,1.4835,0.096402865,10.0069,60.0452,0.8471,528667.8961,1770,526897.8961
32.6068,59.7245,1.6493,1.4819,0.074881425,10.0008,65.6894,0.8501,527028.2734,1769.5,525258.7734
32.7592,58.9553,1.6341,1.4816,0.061394142,9.8613,65.8197,0.8452,524611.7255,1770,522841.7255
32.9116,56.1415,1.6188,1.4815,0.012056495,9.8682,70.7354,0.8459,522117.5212,1770,520347.5212
33.064,55.8746,1.6046,1.4814,0.007376625,9.8564,72.0084,0.8524,519934.0451,1770,518164.0451
33.2164,57.6812,1.5898,1.4816,0.039053856,9.9519,68.4371,0.8406,517512.8407,1772,515740.8407
33.3688,58.6559,1.5979,1.4817,0.056144411,10.0071,72.2275,0.856,522536.0541,1771,520765.0541
33.5212,57.155,1.6067,1.4817,0.029827376,9.866,63.98,0.8507,527813.418,1773,526040.418
33.6736,55.4539,1.6283,1.4819,0,9.6814,66.2918,0.8639,537341.0842,1772.5,535568.5842
33.826,56.6481,1.6425,1.4823,0.020939305,9.8023,66.8411,0.8624,544480.209,1771.996,542708.213
33.9784,59.3141,1.6497,1.4833,0.067685402,9.9035,65.9483,0.8877,549330.8315,1771.996,547558.8355
34.1308,58.8659,1.6659,1.485,0.059826587,10.0157,65.4239,0.85,557213.2973,1773,555440.2973
34.2832,58.9473,1.6679,1.4873,0.061253868,9.7975,69.4421,0.8632,560373.3029,1771.506,558601.7969
34.4356,57.4975,1.6818,1.4888,0.035832829,9.5817,65.6253,0.8573,567555.1624,1772.502,565782.6604
34.588,63.9388,1.6894,1.4886,0.148775677,9.5281,65.2361,0.8774,572643.0786,1774,570869.0786
34.7404,73.2993,1.699,1.4878,0.312904272,9.5595,61.9083,0.8803,578434.6081,1772.506,576662.1021
34.8928,86.272,1.7039,1.4866,0.540369796,9.7799,66.1379,0.8769,582647.6508,1774,580873.6508
35.0452,91.9812,1.6946,1.4852,0.640475877,9.8316,65.216,0.8765,581998.44,1775.5,580222.94
35.1976,85.8042,1.6923,1.4854,0.532167311,10.0099,63.6048,0.8766,583736.0051,1775,581961.0051
35.35,72.2741,1.6947,1.4878,0.294928241,10.1335,63.3881,0.8809,587094.921,1775,585319.921
35.5024,71.9922,1.7014,1.4899,0.289985359,10.216,62.6495,0.8761,591957.0769,1777,590180.0769
35.6548,80.8888,1.6993,1.4898,0.445979853,10.1926,61.2185,0.8956,593764.3761,1777,591987.3761
35.8072,92.9559,1.7013,1.4883,0.657566433,10.372,62.3959,0.8746,597004.1357,1776,595228.1357
35.9596,93.3148,1.6982,1.4869,0.663859446,10.435,65.9587,0.8727,598452.6087,1776,596676.6087
36.112,92.7386,1.6936,1.4853,0.653756258,10.3321,66.5981,0.8751,599360.9754,1775,597585.9754
36.2644,92.1321,1.6799,1.4837,0.643121784,10.1875,71.6769,0.8683,597021.5425,1774.506,595247.0365
36.4168,92.4712,1.663,1.4839,0.649067621,10.1421,69.2081,0.868,593499.1563,1775,591724.1563
36.5692,91.2041,1.6585,1.4852,0.626850074,10.3746,67.4734,0.8716,594370.1784,1778,592592.1784
36.7216,90.5668,1.6476,1.4864,0.615675548,10.533,69.5674,0.8706,592924.58,1778,591146.58
36.874,90.104,1.6522,1.4871,0.607560734,10.4228,65.7707,0.8695,597047.5834,1778,595269.5834
37.0264,90.1831,1.6623,1.4873,0.608947687,10.4538,70.1055,0.873,603180.0503,1779,601401.0503
37.1788,92.1079,1.6682,1.4875,0.642697457,10.4461,66.1861,0.8751,607812.4068,1773.5299,606038.8769
37.3312,91.9749,1.6584,1.4879,0.640365412,10.1671,64.1951,0.8843,606718.6084,1778,604940.6084
37.4836,90.8793,1.647,1.4887,0.621154976,10.0519,71.395,0.8839,605007.7942,1779,603228.7942
37.636,88.7847,1.6338,1.4894,0.584427904,9.9388,69.6394,0.8808,602599.0286,1779.5,600819.5286
37.7884,88.5073,1.6777,1.4897,0.579563925,9.9277,66.2441,0.877,621296.4671,1781,619515.4671
37.9408,91.2004,1.6863,1.4898,0.626785198,10.0677,63.4543,0.8788,626999.7962,1780,625219.7962
38.0932,93.5697,1.7088,1.4899,0.668328906,10.2964,67.9081,0.885,637917.8696,1779,636138.8696
38.2456,92.6171,1.6839,1.49,0.651625856,10.3643,66.8617,0.8772,631137.3052,1778,629359.3052
38.398,89.8672,1.6869,1.4906,0.603408643,10.5623,65.3126,0.8739,634781.1448,1781,633000.1448
38.5504,88.8706,1.6747,1.4914,0.585934089,10.4534,63.7548,0.8685,632691.4778,1782,630909.4778
38.7028,90.5153,1.6695,1.4903,0.614772538,10.1767,64.2097,0.8862,633220.3811,1782.5,631437.8811
38.8552,91.5908,1.6557,1.4865,0.633630538,10.0884,66.0245,0.891,630459.0355,1782.5,628676.5355
39.0076,88.3845,1.6625,1.4841,0.577410729,10.0837,69.9383,0.8823,635531.323,1783,633748.323
39.16,90.3674,1.656,1.4855,0.612179234,10.0891,65.3665,0.8858,635519.808,1782,633737.808
39.3124,90.7346,1.6554,1.4895,0.618617781,10.1977,68.9011,0.8821,637761.9202,1782,635979.9202
39.4648,91.7295,1.6458,1.4931,0.636062527,10.2802,65.4423,0.8927,636521.4448,1783,634738.4448
39.6172,89.999,1.6473,1.4952,0.605719646,10.303,60.9606,0.8836,639561.8529,1781.506,637780.3469
39.7696,89.6416,1.6521,1.4957,0.599452934,10.2457,66.6225,0.8803,643892.8904,1782,642110.8904
39.922,92.3972,1.6632,1.4954,0.647770092,10.1748,71.2671,0.8884,650703.0499,1783.498,648919.5519
